x,y
44,2
153,0
19,0
26,0
13,0
43,0
66,0
24,1
5,-1
31,-1
26,0
10,0
12,0
28,0
28,0
4,0
46,0
56,0
49,1
20,0
38,0
11,1
55,2
14,0
18,0
9,-2
